rank,anime,voice_actor
404,Stand By Me Doraemon 2,"Tsumabuki, Satoshi"
417,Major S4,"Morikubo, Shoutarou"
417,Major S4,"Kumai, Motoko"
417,Major S4,"Enomoto, Atsuko"
417,Major S4,"Ishii, Kouji"
416,Major S2,"Morikubo, Shoutarou"
416,Major S2,"Kumai, Motoko"
416,Major S2,"Morita, Masakazu"
415,Initial D Second Stage,"Miki, Shinichiro"
419,Non Non Biyori Repeat,"Murakawa, Rie"
419,Non Non Biyori Repeat,"Asumi, Kana"
419,Non Non Biyori Repeat,"Sakura, Ayane"
419,Non Non Biyori Repeat,"Koiwai, Kotori"
409,Ballroom e Youkoso,"Tsuchiya, Shinba"
409,Ballroom e Youkoso,"Sakurai, Yuuki"
409,Ballroom e Youkoso,"Sakura, Ayane"
409,Ballroom e Youkoso,"Akasaki, Chinatsu"
409,Ballroom e Youkoso,"Okamoto, Nobuhiko"
409,Ballroom e Youkoso,"Yorita, Natsu"
435,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,"Umehara, Yuuichirou"
435,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,"Miyano, Mamoru"
435,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,"Dismuke, Aaron"
435,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,"Suzumura, Kenichi"
420,K-On!!,"Hikasa, Youko"
420,K-On!!,"Toyosaki, Aki"
420,K-On!!,"Kotobuki, Minako"
420,K-On!!,"Taketatsu, Ayana"
420,K-On!!,"Satou, Satomi"
431,Bungou Stray Dogs 2nd Season,"Miyano, Mamoru"
431,Bungou Stray Dogs 2nd Season,"Uemura, Yuuto"
431,Bungou Stray Dogs 2nd Season,Lynn
426,No Game No Life: Zero,"Hikasa, Youko"
426,No Game No Life: Zero,"Kayano, Ai"
426,No Game No Life: Zero,"Matsuoka, Yoshitsugu"
423,Made in Abyss Movie 1: Tabidachi no Yoake,"Ise, Mariya"
423,Made in Abyss Movie 1: Tabidachi no Yoake,"Tomita, Miyu"
425,Meitantei Conan Movie 20: Junkoku no Nightmare,"Amami, Yuuki"
425,Meitantei Conan Movie 20: Junkoku no Nightmare,"Takayama, Minami"
425,Meitantei Conan Movie 20: Junkoku no Nightmare,"Hayashibara, Megumi"
436,Girls & Panzer: Saishuushou Part 3,"Nakagami, Ikumi"
436,Girls & Panzer: Saishuushou Part 3,"Ozaki, Mami"
436,Girls & Panzer: Saishuushou Part 3,"Fuchigami, Mai"
436,Girls & Panzer: Saishuushou Part 3,"Iguchi, Yuka"
436,Girls & Panzer: Saishuushou Part 3,"Kayano, Ai"
422,Little Busters! Refrain,"Canna, Nobutoshi"
422,Little Busters! Refrain,"Oda, Yuusei"
422,Little Busters! Refrain,"Horie, Yui"
422,Little Busters! Refrain,"Tamiyasu, Tomoe"
422,Little Busters! Refrain,"Midorikawa, Hikaru"
429,Bakuman.,"Abe, Atsushi"
429,Bakuman.,"Hino, Satoshi"
433,Digimon Adventure: Last Evolution Kizuna,"Sakamoto, Chika"
433,Digimon Adventure: Last Evolution Kizuna,"Yamaguchi, Mayumi"
433,Digimon Adventure: Last Evolution Kizuna,"Takeuchi, Junko"
433,Digimon Adventure: Last Evolution Kizuna,"Hosoya, Yoshimasa"
433,Digimon Adventure: Last Evolution Kizuna,"Tamura, Mutsumi"
433,Digimon Adventure: Last Evolution Kizuna,"Ikeda, Junya"
433,Digimon Adventure: Last Evolution Kizuna,"Taniguchi, Yuna"
433,Digimon Adventure: Last Evolution Kizuna,"Yamada, Kinoko"
433,Digimon Adventure: Last Evolution Kizuna,"Matsumoto, Miwa"
433,Digimon Adventure: Last Evolution Kizuna,"Shigematsu, Atori"
433,Digimon Adventure: Last Evolution Kizuna,"Yoshida, Hitomi"
433,Digimon Adventure: Last Evolution Kizuna,"Tokumitsu, Yuka"
433,Digimon Adventure: Last Evolution Kizuna,"Enoki, Junya"
433,Digimon Adventure: Last Evolution Kizuna,"Mimori, Suzuko"
433,Digimon Adventure: Last Evolution Kizuna,"Sakurai, Takahiro"
433,Digimon Adventure: Last Evolution Kizuna,"Hanae, Natsuki"
433,Digimon Adventure: Last Evolution Kizuna,"Ichimichi, Mao"
430,Black Lagoon: The Second Barrage,"Hirata, Hiroaki"
430,Black Lagoon: The Second Barrage,"Isobe, Tsutomu"
430,Black Lagoon: The Second Barrage,"Namikawa, Daisuke"
430,Black Lagoon: The Second Barrage,"Toyoguchi, Megumi"
427,Yuukoku no Moriarty,"Furukawa, Makoto"
427,Yuukoku no Moriarty,"Satou, Takuya"
427,Yuukoku no Moriarty,"Saitou, Souma"
427,Yuukoku no Moriarty,"Ishigami, Shizuka"
427,Yuukoku no Moriarty,"Kobayashi, Chiaki"
427,Yuukoku no Moriarty,"Touyama, Nao"
428,Ao Ashi,"Oosuzu, Kouki"
428,Ao Ashi,"Kobayashi, Chikahiro"
428,Ao Ashi,"Kawase, Maki"
438,Initial D Fourth Stage,"Miki, Shinichiro"
438,Initial D Fourth Stage,"Seki, Tomokazu"
438,Initial D Fourth Stage,"Koyasu, Takehito"
424,Meitantei Conan,"Ogata, Kenichi"
424,Meitantei Conan,"Tanaka, Kazunari"
424,Meitantei Conan,"Takayama, Minami"
424,Meitantei Conan,"Yamaguchi, Kappei"
424,Meitantei Conan,"Hayashibara, Megumi"
424,Meitantei Conan,"Takagi, Wataru"
424,Meitantei Conan,"Yamazaki, Wakana"
424,Meitantei Conan,"Koyama, Rikiya"
424,Meitantei Conan,"Kamiya, Akira"
424,Meitantei Conan,"Ootani, Ikue"
424,Meitantei Conan,"Orikasa, Ai"
424,Meitantei Conan,"Iwai, Yukiko"
432,Cardcaptor Sakura,"Iwao, Junko"
432,Cardcaptor Sakura,"Hisakawa, Aya"
432,Cardcaptor Sakura,"Onosaka, Masaya"
432,Cardcaptor Sakura,"Tange, Sakura"
432,Cardcaptor Sakura,"Kumai, Motoko"
445,Horimiya: Piece,"Tomatsu, Haruka"
445,Horimiya: Piece,"Uchiyama, Kouki"
451,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,"Konishi, Katsuyuki"
451,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,"Inoue, Marina"
451,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,"Kakihara, Tetsuya"
451,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,"Fukui, Yukari"
443,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,"Sugiyama, Noriaki"
443,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,"Shitaya, Noriko"
443,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,"Kawasumi, Ayako"
443,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,"Ueda, Kana"
440,Aria the Natural,"Hirohashi, Ryou"
440,Aria the Natural,"Minagawa, Junko"
440,Aria the Natural,"Ohara, Sayaka"
440,Aria the Natural,"Kawakami, Tomoko"
440,Aria the Natural,"Saitou, Chiwa"
440,Aria the Natural,"Hazuki, Erino"
440,Aria the Natural,"Nishimura, Chinami"
449,Ouran Koukou Host Club,"Sakamoto, Maaya"
449,Ouran Koukou Host Club,"Saitou, Ayaka"
449,Ouran Koukou Host Club,"Fujita, Yoshinori"
449,Ouran Koukou Host Club,"Suzumura, Kenichi"
449,Ouran Koukou Host Club,"Kirii, Daisuke"
449,Ouran Koukou Host Club,"Matsukaze, Masaya"
449,Ouran Koukou Host Club,"Miyano, Mamoru"
444,Higurashi no Naku Koro ni Kai,"Tamura, Yukari"
444,Higurashi no Naku Koro ni Kai,"Horie, Yui"
444,Higurashi no Naku Koro ni Kai,"Kanai, Mika"
444,Higurashi no Naku Koro ni Kai,"Hoshi, Souichirou"
444,Higurashi no Naku Koro ni Kai,"Nakahara, Mai"
444,Higurashi no Naku Koro ni Kai,"Yukino, Satsuki"
444,Higurashi no Naku Koro ni Kai,"Yukino, Satsuki"
444,Higurashi no Naku Koro ni Kai,"Itou, Miki"
444,Higurashi no Naku Koro ni Kai,"Ono, Fuyuka"
448,Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,"Inoue, Kazuhiko"
448,Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,"Kanemoto, Hisako"
448,Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,"Kamiya, Hiroshi"
448,Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,"Horie, Kazuma"
448,Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,"Kuroda, Takaya"
442,Dr. Stone: Stone Wars,"Kawanishi, Kengo"
442,Dr. Stone: Stone Wars,"Satou, Gen"
442,Dr. Stone: Stone Wars,"Kobayashi, Yuusuke"
442,Dr. Stone: Stone Wars,"Numakura, Manami"
442,Dr. Stone: Stone Wars,"Ichinose, Kana"
442,Dr. Stone: Stone Wars,"Furukawa, Makoto"
447,Lycoris Recoil,"Wakayama, Shion"
447,Lycoris Recoil,"Anzai, Chika"
439,Akira,"Iwata, Mitsuo"
439,Akira,"Koyama, Mami"
439,Akira,"Ishida, Tarou"
439,Akira,"Sasaki, Nozomu"
450,Sono Bisque Doll wa Koi wo Suru,"Ishige, Shouya"
450,Sono Bisque Doll wa Koi wo Suru,"Takayanagi, Tomoyo"
450,Sono Bisque Doll wa Koi wo Suru,"Suguta, Hina"
453,Shinigami Bocchan to Kuro Maid 3rd Season,"Hanae, Natsuki"
453,Shinigami Bocchan to Kuro Maid 3rd Season,"Mano, Ayumi"
454,Spy x Family Movie: Code: White,"Hayami, Saori"
454,Spy x Family Movie: Code: White,"Eguchi, Takuya"
454,Spy x Family Movie: Code: White,"Tanezaki, Atsumi"
455,Toaru Kagaku no Railgun T,"Satou, Rina"
455,Toaru Kagaku no Railgun T,"Itou, Kanae"
455,Toaru Kagaku no Railgun T,"Arai, Satomi"
455,Toaru Kagaku no Railgun T,"Asakura, Azumi"
455,Toaru Kagaku no Railgun T,"Toyosaki, Aki"
460,Lupin III: Cagliostro no Shiro,"Shimamoto, Sumi"
460,Lupin III: Cagliostro no Shiro,"Ishida, Tarou"
460,Lupin III: Cagliostro no Shiro,"Inoue, Makio"
460,Lupin III: Cagliostro no Shiro,"Kobayashi, Kiyoshi"
460,Lupin III: Cagliostro no Shiro,"Yamada, Yasuo"
460,Lupin III: Cagliostro no Shiro,"Masuyama, Eiko"
460,Lupin III: Cagliostro no Shiro,"Naya, Gorou"
459,Eiga Daisuki Pompo-san,"Shimizu, Hiroya"
459,Eiga Daisuki Pompo-san,"Kohara, Konomi"
457,Dr. Stone: New World,"Kawanishi, Kengo"
457,Dr. Stone: New World,"Satou, Gen"
457,Dr. Stone: New World,"Kobayashi, Yuusuke"
457,Dr. Stone: New World,"Numakura, Manami"
457,Dr. Stone: New World,"Suzuki, Ryouta"
457,Dr. Stone: New World,"Ichinose, Kana"
457,Dr. Stone: New World,"Furukawa, Makoto"
471,IDOLiSH7 Second Beat!,"Masuda, Toshiki"
471,IDOLiSH7 Second Beat!,"Yonaga, Tsubasa"
471,IDOLiSH7 Second Beat!,"Ono, Kensho"
471,IDOLiSH7 Second Beat!,"Shirai, Yuusuke"
471,IDOLiSH7 Second Beat!,"Abe, Atsushi"
471,IDOLiSH7 Second Beat!,"Eguchi, Takuya"
471,IDOLiSH7 Second Beat!,KENN
463,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,KENN
463,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,"Tanaka, Mei"
463,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,"Taneda, Risa"
463,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,"Suzuki, Tatsuhisa"
463,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,"Chihara, Minori"
462,Kaiba,"Kuwashima, Houko"
462,Kaiba,"Noto, Mamiko"
462,Kaiba,"Park, Romi"
465,Noragami Aragoto,"Sawashiro, Miyuki"
465,Noragami Aragoto,"Uchida, Maaya"
465,Noragami Aragoto,"Fukuyama, Jun"
465,Noragami Aragoto,"Kamiya, Hiroshi"
465,Noragami Aragoto,"Kaji, Yuuki"
469,Death Parade,"Maeno, Tomoaki"
469,Death Parade,"Seto, Asami"
469,Death Parade,"Ookubo, Rumi"
468,Black Clover,"Kajiwara, Gakuto"
468,Black Clover,"Fujita, Nao"
468,Black Clover,"Yuuki, Kana"
468,Black Clover,"Shimazaki, Nobunaga"
468,Black Clover,"Sekine, Arisa"
466,Tensei shitara Slime Datta Ken,"Okasaki, Miho"
476,Kimetsu no Yaiba: Hashira Geiko-hen,"Hanae, Natsuki"
475,Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,"Ikeda, Shuuichi"
475,Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,"Han, Megumi"
475,Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,"Furuya, Toru"
472,Eizouken ni wa Te wo Dasu na!,"Itou, Sairi"
472,Eizouken ni wa Te wo Dasu na!,"Tamura, Mutsumi"
472,Eizouken ni wa Te wo Dasu na!,"Matsuoka, Misato"
479,Nodame Cantabile: Paris-hen,"Seki, Tomokazu"
479,Nodame Cantabile: Paris-hen,"Kawasumi, Ayako"
477,Lupin III: Part 5,"Namikawa, Daisuke"
477,Lupin III: Part 5,"Kobayashi, Kiyoshi"
477,Lupin III: Part 5,"Kurita, Kanichi"
477,Lupin III: Part 5,"Sawashiro, Miyuki"
477,Lupin III: Part 5,"Yamadera, Kouichi"
480,Princess Tutu,"Katou, Nanae"
480,Princess Tutu,"Sakurai, Takahiro"
480,Princess Tutu,"Ootsuda, Hiromi"
480,Princess Tutu,"Mizuki, Nana"
480,Princess Tutu,"Yanagi, Naoki"
478,Nisemonogatari,"Kitamura, Eri"
478,Nisemonogatari,"Kamiya, Hiroshi"
478,Nisemonogatari,"Iguchi, Yuka"
478,Nisemonogatari,"Sakamoto, Maaya"
481,Shokugeki no Souma,"Taneda, Risa"
481,Shokugeki no Souma,"Takahashi, Minami"
481,Shokugeki no Souma,"Matsuoka, Yoshitsugu"
483,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season","Uchida, Yuuma"
490,Hinamatsuri,"Tanaka, Takako"
490,Hinamatsuri,"Nakajima, Yoshiki"
492,Kaze Tachinu,"Anno, Hideaki"
492,Kaze Tachinu,"Kaburagi, Kaichi"
492,Kaze Tachinu,"Iino, Mayu"
492,Kaze Tachinu,"Takimoto, Miori"
488,Given Movie 1,"Eguchi, Takuya"
488,Given Movie 1,"Asanuma, Shintaro"
488,Given Movie 1,"Nakazawa, Masatomo"
482,Seirei no Moribito,"Adachi, Naoto"
482,Seirei no Moribito,"Shindo, Naomi"
482,Seirei no Moribito,"Andou, Mabuki"
491,Katekyou Hitman Reborn!,"Akesaka, Satomi"
491,Katekyou Hitman Reborn!,"Ichinose, Hidekazu"
491,Katekyou Hitman Reborn!,"Yoshida, Asako"
491,Katekyou Hitman Reborn!,"Kondo, Takashi"
491,Katekyou Hitman Reborn!,"Takeuchi, Junko"
491,Katekyou Hitman Reborn!,"Tsuda, Kenjirou"
491,Katekyou Hitman Reborn!,"Narita, Ken"
491,Katekyou Hitman Reborn!,Neeko
491,Katekyou Hitman Reborn!,"Iida, Toshinobu"
491,Katekyou Hitman Reborn!,"Kiuchi, Hidenobu"
491,Katekyou Hitman Reborn!,"Kokubun, Yukari"
491,Katekyou Hitman Reborn!,"Namikawa, Daisuke"
491,Katekyou Hitman Reborn!,"Inoue, Suguru"
492,Paripi Koumei,"Hondo, Kaede"
492,Paripi Koumei,96neko
492,Paripi Koumei,"Okiayu, Ryoutarou"
485,Gankutsuou,"Hirakawa, Daisuke"
485,Gankutsuou,"Fukuyama, Jun"
485,Gankutsuou,"Endou, Aya"
485,Gankutsuou,"Nakata, Jouji"
485,Skip to Loafer,"Kurosawa, Tomoyo"
485,Skip to Loafer,"Egoshi, Akinori"
489,Golden Kamuy 4th Season,"Shiraishi, Haruka"
489,Golden Kamuy 4th Season,"Itou, Kentarou"
489,Golden Kamuy 4th Season,"Kobayashi, Chikahiro"
504,Buddy Daddies,"Toyonaga, Toshiyuki"
504,Buddy Daddies,"Uchiyama, Kouki"
504,Buddy Daddies,"Iwami, Manaka"
504,Buddy Daddies,"Kino, Hina"
497,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,"Yuzuki, Ryouka"
497,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,"Shimizu, Kaori"
497,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,"Tamura, Yukari"
497,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,"Mizuki, Nana"
497,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,"Sanada, Asami"
497,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,"Ueda, Kana"
497,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,"Ichijo, Kazuya"
494,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,"Miyake, Kenta"
494,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,"Ishizuka, Unshou"
494,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,"Hirakawa, Daisuke"
494,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,"Ono, Daisuke"
494,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,"Takamori, Natsumi"
494,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,"Komatsu, Fuminori"
499,Meitantei Conan Movie 14: Tenkuu no Lost Ship,"Takayama, Minami"
499,Meitantei Conan Movie 14: Tenkuu no Lost Ship,"Yamaguchi, Kappei"
499,Meitantei Conan Movie 14: Tenkuu no Lost Ship,"Yamaguchi, Kappei"
499,Meitantei Conan Movie 14: Tenkuu no Lost Ship,"Yamazaki, Wakana"
494,Kamisama Hajimemashita,"Mimori, Suzuko"
494,Kamisama Hajimemashita,"Tachibana, Shinnosuke"
496,Kuragehime,"Saiga, Mitsuki"
496,Kuragehime,"Hanazawa, Kana"
503,Stand By Me Doraemon,"Mizuta, Wasabi"
503,Stand By Me Doraemon,"Kimura, Subaru"
503,Stand By Me Doraemon,"Seki, Tomokazu"
503,Stand By Me Doraemon,"Kakazu, Yumi"
503,Stand By Me Doraemon,"Oohara, Megumi"
503,Stand By Me Doraemon,"Tsumabuki, Satoshi"
505,Diamond no Ace,"Shimazaki, Nobunaga"
505,Diamond no Ace,"Hanae, Natsuki"
505,Diamond no Ace,"Sakurai, Takahiro"
505,Diamond no Ace,"Oosaka, Ryouta"
507,Initial D Fifth Stage,"Miki, Shinichiro"
507,Initial D Fifth Stage,"Seki, Tomokazu"
507,Initial D Fifth Stage,"Koyasu, Takehito"
500,One Piece Film: Z,Cho
500,One Piece Film: Z,"Yao, Kazuki"
500,One Piece Film: Z,"Tanaka, Mayumi"
500,One Piece Film: Z,"Okamura, Akemi"
500,One Piece Film: Z,"Yamaguchi, Yuriko"
500,One Piece Film: Z,"Nakai, Kazuya"
500,One Piece Film: Z,"Hirata, Hiroaki"
500,One Piece Film: Z,"Ootani, Ikue"
500,One Piece Film: Z,"Yamaguchi, Kappei"
500,One Piece Film: Z,"Suzuki, Masami"
500,One Piece Film: Z,"Ootsuka, Houchuu"
506,Fullmetal Alchemist,"Kugimiya, Rie"
506,Fullmetal Alchemist,"Park, Romi"
498,Meitantei Conan Movie 05: Tengoku e no Countdown,"Takayama, Minami"
498,Meitantei Conan Movie 05: Tengoku e no Countdown,"Yamaguchi, Kappei"
498,Meitantei Conan Movie 05: Tengoku e no Countdown,"Hayashibara, Megumi"
498,Meitantei Conan Movie 05: Tengoku e no Countdown,"Takagi, Wataru"
498,Meitantei Conan Movie 05: Tengoku e no Countdown,"Yamazaki, Wakana"
498,Meitantei Conan Movie 05: Tengoku e no Countdown,"Kamiya, Akira"
498,Meitantei Conan Movie 05: Tengoku e no Countdown,"Ootani, Ikue"
498,Meitantei Conan Movie 05: Tengoku e no Countdown,"Iwai, Yukiko"
517,Precure All Stars Movie F,"Hidaka, Rina"
517,Precure All Stars Movie F,"Koga, Aoi"
517,Precure All Stars Movie F,"Mimori, Suzuko"
517,Precure All Stars Movie F,"Kohara, Konomi"
517,Precure All Stars Movie F,"Yuuki, Aoi"
517,Precure All Stars Movie F,"Hayami, Saori"
517,Precure All Stars Movie F,"Sekine, Akira"
517,Precure All Stars Movie F,"Shimamura, Yuu"
517,Precure All Stars Movie F,"Nanase, Ayaka"
517,Precure All Stars Movie F,"Kayano, Ai"
517,Precure All Stars Movie F,"Fujita, Saki"
517,Precure All Stars Movie F,"Hishikawa, Hana"
517,Precure All Stars Movie F,Fairouz Ai
517,Precure All Stars Movie F,"Kakuma, Ai"
517,Precure All Stars Movie F,"Sakamoto, Maaya"
517,Precure All Stars Movie F,"Honizumi, Rina"
517,Precure All Stars Movie F,"Murase, Ayumu"
519,Tamayura: Sotsugyou Shashin Part 4 - Ashita,"Asumi, Kana"
519,Tamayura: Sotsugyou Shashin Part 4 - Ashita,"Iguchi, Yuka"
519,Tamayura: Sotsugyou Shashin Part 4 - Ashita,"Gibu, Yuuko"
519,Tamayura: Sotsugyou Shashin Part 4 - Ashita,"Taketatsu, Ayana"
513,Kono Subarashii Sekai ni Shukufuku wo!,"Amamiya, Sora"
513,Kono Subarashii Sekai ni Shukufuku wo!,"Kayano, Ai"
513,Kono Subarashii Sekai ni Shukufuku wo!,"Takahashi, Rie"
513,Kono Subarashii Sekai ni Shukufuku wo!,"Fukushima, Jun"
512,Kidou Senshi Gundam 00,"Kamiya, Hiroshi"
512,Kidou Senshi Gundam 00,"Yoshino, Hiroyuki"
512,Kidou Senshi Gundam 00,"Jou, Masako"
512,Kidou Senshi Gundam 00,"Miyano, Mamoru"
512,Kidou Senshi Gundam 00,"Nishigaki, Yuka"
512,Kidou Senshi Gundam 00,"Miki, Shinichiro"
516,Ookami to Koushinryou: Merchant Meets the Wise Wolf,"Koshimizu, Ami"
516,Ookami to Koushinryou: Merchant Meets the Wise Wolf,"Fukuyama, Jun"
520,Toki wo Kakeru Shoujo,"Naka, Riisa"
520,Toki wo Kakeru Shoujo,"Ishida, Takuya"
520,Toki wo Kakeru Shoujo,"Itakura, Mitsutaka"
509,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,"Uesaka, Sumire"
509,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,"Akasaki, Chinatsu"
509,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,"Uchida, Maaya"
509,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,"Fukuyama, Jun"
509,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,"Asakura, Azumi"
522,Tsurune: Tsunagari no Issha,"Yano, Shougo"
522,Tsurune: Tsunagari no Issha,"Uemura, Yuuto"
522,Tsurune: Tsunagari no Issha,"Ishikawa, Kaito"
522,Tsurune: Tsunagari no Issha,"Ichikawa, Aoi"
522,Tsurune: Tsunagari no Issha,"Asanuma, Shintaro"
522,Tsurune: Tsunagari no Issha,"Suzuki, Ryouta"
525,Durarara!!,"Ono, Daisuke"
525,Durarara!!,"Oohara, Momoko"
525,Durarara!!,"Miyano, Mamoru"
525,Durarara!!,"Kamiya, Hiroshi"
525,Durarara!!,"Toyonaga, Toshiyuki"
525,Durarara!!,"Hanazawa, Kana"
525,Durarara!!,"Sawashiro, Miyuki"
526,Gin no Saji,"Kimura, Ryouhei"
526,Gin no Saji,"Miyake, Marie"
527,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,"Hayami, Show"
527,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,"Tamura, Mutsumi"
527,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,"Iguchi, Yuka"
528,Jigokuraku,"Kobayashi, Chiaki"
528,Jigokuraku,"Hanamori, Yumiri"
521,Serial Experiments Lain,"Shimizu, Kaori"
532,Mirai Shounen Conan,"Ohara, Noriko"
532,Mirai Shounen Conan,"Nobusawa, Mieko"
523,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,"Chiba, Shouya"
542,Haikyuu!! Movie 2: Shousha to Haisha,"Murase, Ayumu"
542,Haikyuu!! Movie 2: Shousha to Haisha,"Ishikawa, Kaito"
539,Ginga Eiyuu Densetsu: Arata naru Tatakai no Overture,"Hironaka, Masashi"
539,Ginga Eiyuu Densetsu: Arata naru Tatakai no Overture,"Horikawa, Ryo"
539,Ginga Eiyuu Densetsu: Arata naru Tatakai no Overture,"Tomiyama, Kei"
535,Zankyou no Terror,"Tanezaki, Atsumi"
535,Zankyou no Terror,"Ishikawa, Kaito"
535,Zankyou no Terror,"Sakuya, Shunsuke"
535,Zankyou no Terror,"Saitou, Souma"
538,Fumetsu no Anata e Season 2,"Kawashima, Reiji"
541,Gridman Universe,"Enoki, Junya"
541,Gridman Universe,"Anzai, Chika"
541,Gridman Universe,"Hamano, Daiki"
541,Gridman Universe,"Midorikawa, Hikaru"
541,Gridman Universe,"Hirose, Yuuya"
541,Gridman Universe,"Wakayama, Shion"
541,Gridman Universe,"Miyamoto, Yume"
541,Gridman Universe,"Saitou, Souma"
541,Gridman Universe,"Umehara, Yuuichirou"
536,Ansatsu Kyoushitsu,"Okamoto, Nobuhiko"
536,Ansatsu Kyoushitsu,"Fukuyama, Jun"
536,Ansatsu Kyoushitsu,"Fuchigami, Mai"
558,Ranma ½ (2024),"Yamaguchi, Kappei"
558,Ranma ½ (2024),"Hayashibara, Megumi"
558,Ranma ½ (2024),"Hidaka, Noriko"
552,Karasu wa Aruji wo Erabanai,"Irino, Miyu"
552,Karasu wa Aruji wo Erabanai,"Tamura, Mutsumi"
562,The Fable,"Okitsu, Kazuyuki"
546,Boku no Hero Academia 7th Season,"Yamashita, Daiki"
559,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su","Uchida, Yuuma"
556,Kuroko no Basket Movie 4: Last Game,"Kamiya, Hiroshi"
556,Kuroko no Basket Movie 4: Last Game,"Suwabe, Junichi"
556,Kuroko no Basket Movie 4: Last Game,"Ono, Yuuki"
556,Kuroko no Basket Movie 4: Last Game,"Kimura, Ryouhei"
556,Kuroko no Basket Movie 4: Last Game,"Ono, Kensho"
556,Kuroko no Basket Movie 4: Last Game,"Ono, Daisuke"
556,Kuroko no Basket Movie 4: Last Game,"Suzumura, Kenichi"
558,Quanzhi Gaoshou: Dianfeng Rongyao,"Nakamura, Yuuichi"
545,Boku no Hero Academia 2nd Season,"Miyake, Kenta"
545,Boku no Hero Academia 2nd Season,"Okamoto, Nobuhiko"
545,Boku no Hero Academia 2nd Season,"Kokuryu, Sachi"
545,Boku no Hero Academia 2nd Season,"Ishikawa, Kaito"
545,Boku no Hero Academia 2nd Season,"Yamashita, Daiki"
545,Boku no Hero Academia 2nd Season,"Watanabe, Akeno"
545,Boku no Hero Academia 2nd Season,"Kaji, Yuuki"
545,Boku no Hero Academia 2nd Season,"Shindou, Kei"
545,Boku no Hero Academia 2nd Season,"Sakura, Ayane"
561,Skip Beat!,"Miyano, Mamoru"
561,Skip Beat!,"Kimura, Haruka"
561,Skip Beat!,"Inoue, Marina"
561,Skip Beat!,"Konishi, Katsuyuki"
553,Kidou Senshi Gundam 00 Second Season,"Furuya, Toru"
553,Kidou Senshi Gundam 00 Second Season,"Kamiya, Hiroshi"
553,Kidou Senshi Gundam 00 Second Season,"Yoshino, Hiroyuki"
553,Kidou Senshi Gundam 00 Second Season,"Jou, Masako"
553,Kidou Senshi Gundam 00 Second Season,"Miyano, Mamoru"
553,Kidou Senshi Gundam 00 Second Season,"Nishigaki, Yuka"
553,Kidou Senshi Gundam 00 Second Season,"Miki, Shinichiro"
